address	pmid	latitude	longitude
Center for the Study of Complex Systems and Departments of Ecology & Evolutionary Biology and Mathematics, University of Michigan, Ann Arbor MI, USA.	38648521	42.28142	 -83.74848
Santa Fe Institute, 1399 Hyde Park Road, Santa Fe NM, USA.	38648521	35.69872	-105.90912
Genetics Graduate Interdisciplinary Program, University of Arizona, Tucson, AZ 85721, USA.	38636507	32.23372	-110.95071
Department of Molecular & Cellular Biology, University of Arizona, Tucson, AZ 85721, USA.	38636507	32.23372	-110.95071
GeoBio-Center, Ludwig-Maximilians-Universität München, Munich 80333, Germany.	38630635	48.14381	  11.56266
Department of Earth and Environmental Sciences, Paleontology & Geobiology, Ludwig-Maximilians-Universität München, Munich 80333, Germany.	38630635	48.14763	  11.56805
Department of Molecular Biosciences, The Wenner-Gren Institute, Stockholm University, Stockholm, Sweden.	38606905	59.33279	  18.06449
Department of Biological Sciences, University of the Pacific, Stockton, CA, USA.	38606905	37.95754	-121.29245
Louvain Institute of Biomolecular Science and Technology, Université catholique de Louvain, Louvain-la-Neuve, Belgium.	38606905	50.88217	   4.705906
Department of Biology, Sonoma State University, Rohnert Park, CA, USA.	38606905	38.34207	-122.677633
Biomedical Research Centre, Norwich Medical School, University of East Anglia, Norwich, UK.	38606905	52.62889	   1.293330
Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, Canada.	38606901	43.66300	-79.39355
Department of Plant Developmental Genetics, Institute of Biophysics of the Czech Academy of Sciences, Brno, Czech Republic.	38606901	49.19205	 16.61319
National Centre for Biomolecular Research, Faculty of Science, Masaryk University, Brno, Czech Republic.	38606901	49.19205	 16.61319
Department of Biology, Queen's University, Kingston, Canada.	38606901	44.22743	 -76.49108
Centre for Analysis of Genome Evolution and Function, University of Toronto, Toronto, Canada.	38606901	43.66300	 -79.39355
School of Biological Sciences, University of California San Diego, La Jolla, CA, USA.	38586942	32.84199	-117.27302
Department of Chemistry and Biochemistry, University of California San Diego, La Jolla, CA, USA.	38586942	32.84199	-117.27302
Department of Cellular and Molecular Medicine, University of California San Diego, La Jolla, CA, USA.	38586942	32.84199	-117.27302
Bioinformatics Research Center, Aarhus University, Denmark.	38577958	56.16871	  10.20243
Centre for Ecology and Conservation, University of Exeter, Penryn Campus, Cornwall TR10 9FE, UK.	38577785	50.17055	-5.125645
Laboratory of Evolutionary Genetics, Institute of Biology, University of Neuchâtel, 2000 Neuchâtel, Switzerland.	38577785	46.99204	 6.930751
Institute of Evolutionary Biology, University of Edinburgh, Edinburgh EH9 3FL, UK.	38577785	55.92395	-3.173114
Department of Biology and Centre for Vision Research, York University, Toronto, Ontario, Canada.	38573520	43.66250	-79.40117
Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC, USA.	38573520	38.89122	-77.02609
Department of Biology, Amphibian and Reptile Diversity Research Center, The University of Texas at Arlington, Arlington, TX, USA.	38573520	32.73559	-97.10711
Natural History Museum, London, UK.	38573520	51.4959299	 -0.1763567
Department of Biomedical Sciences, Cornell University College of Veterinary Medicine, Ithaca, NY, USA.	38573520	42.4404960	-76.4957030
Institute de Recherches Agronomiques et Forestières, Libreville, Gabon.	38573520	 0.3902009	  9.4443643
Department of Biology and One Health Microbiome Center, Center for Infectious Disease Dynamics, The Huck Institutes of the Life Sciences, The Pennsylvania State University, University Park, PA, USA.	38573520	 40.803301	-77.85973
Laboratorio de Zoología Terrestre, Instituto de Biodiversidad Tropical IBIOTROP, Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Quito, Ecuador.	38573520	 -0.214945	-78.51320
Centre for Conservation Ecology and Genomics, Institute for Applied Ecology, University of Canberra, Bruce, ACT, Australia.	38573520	-35.242454	149.07826
Department of Biological Sciences, University of Denver, Denver, USA.	38573520	 39.67485	-104.966425
Department of Biodiversity and Center of Aquaculture-CAUNESP, I.B., São Paulo State University, Rio Claro, São Paulo, Brazil.	38573520	-22.40746	 -47.565518
Amphibian Evolution Lab, Biology Department, Vrije Universiteit Brussel, Brussels, Belgium.	38573520	 50.89806	   4.406264
Centre for Biodiversity and Environment Research, Department of Genetics, Evolution and Environment, University College London, London, UK.	38573520	51.50015	-0.1262362
Island Biodiversity and Conservation Centre, University of Seychelles, Mahé, Seychelles.	38573520	-4.62001	55.4550100
School of Natural and Environmental Sciences, Newcastle University, Newcastle Upon Tyne, UK.	38573520	54.97945	-1.6148200
Department of Biological Sciences, The University of Newcastle, Newcastle 2308, Australia.	38573520	-32.89313	151.70295128
Programa de Pós-graduação em Conservação da Fauna, Universidade Federal de São Carlos, São Carlos, Brazil.	38573520	-22.01750	-47.89083000
Independent Scholar, London, UK.	38573520	 51.55164	 -0.07069376
School of Biological Sciences, The University of Western Australia, Crawley, WA 6009, Australia.	38573520	-31.97885	 115.81824
Department of Herpetology, California Academy of Sciences, San Francisco, CA, USA.	38573520	 37.77005	-122.46636
Department of Biology, Lund University, Lund, Sweden.	38573520	 64.74801	  20.89796
Gabon Biodiversity Program, Center for Conservation and Sustainability, Smithsonian National Zoo and Conservation Biology Institute, Gamba, Gabon.	38573520	-2.723402	 10.024558
Department of Organismic and Evolutionary Biology, Museum of Comparative Zoology, Harvard University, Cambridge, MA, USA.	38573520	42.365248	-71.105015
Microbiology Department, Institut Pasteur, Université Paris Cité, Biology of Spirochetes Unit, Paris, France.	38573174	48.863698	  2.361657
INRS-Centre Armand-Frappier Santé Biotechnologie, Bacterial Symbionts Evolution, Laval, Quebec H7V 1B7, Canada.	38573174	45.54338	-73.72092
Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Xining, China.	38552245	36.62554	101.75739
University of Chinese Academy of Sciences, Beijing, China.	38552245	39.90750	116.39723
Qinghai Provincial Key Laboratory of Animal Ecological Genomics, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Xining, China.	38552245	36.62554	101.757390
Smurfit Institute of Genetics, Trinity College Dublin, Dublin 2, Ireland.	38533900	53.34007	 -6.252832
The SFI Centre for Research Training in Genomics Data Science, University of Galway, Galway, Ireland.	38533900	53.27380	 -9.051780
Department of Archaeology, University College Cork, Cork, Ireland.	38533900	51.88926	-8.491162
Faculty of Science, Atlantic Technological University, Sligo, Ireland.	38533900	54.27060	-8.471644
School of History, Classics and Archaeology, University of Edinburgh, Edinburgh EH8 9AG, UK.	38533900	55.94441	-3.190305
Department of Bacteriology, University of Wisconsin-Madison, Madison, WI, USA.	38526235	43.07185	-89.40789
Laboratory of Evolutionary Genetics and Genomics, The Rockefeller University, New York, NY, USA.	38518286	40.71305	-74.00723
Proteomics Resource Center, The Rockefeller University, New York, NY, USA.	38518286	40.76209	-73.95683
Departament de Biologia Cel·lular, Fisiologia i Immunologia, Universitat Autònoma de Barcelona, Cerdanyola del Vallès 08193, Barcelona, Spain.	38513632	41.50891	2.087820
Institut de Biotecnologia i Biomedicina, Universitat Autònoma de Barcelona, Cerdanyola del Vallès 08193, Barcelona, Spain.	38513632	41.50422	2.100081
Departament de Genètica i Microbiologia, Universitat Autònoma de Barcelona, Cerdanyola del Vallès 08193, Barcelona, Spain.	38513632	41.50422	2.100081
Departament de Biologia Animal, Biologia Vegetal i Ecologia, Universitat Autònoma de Barcelona, Cerdanyola del Vallès 08193, Barcelona, Spain.	38513632	41.50891	  2.087820
Small Mammals Research Unit, Granollers Museum of Natural Sciences, Granollers 08402, Barcelona, Spain.	38513632	41.59698	  2.291126
Center for Biological Data Science, Life Sciences, Virginia Commonwealth University, Richmond, VA, USA.	38513084	37.54961	-77.453117
Department of Biology, University of Nevada Reno, Reno, NV, USA.	38513084	39.54220	-119.81635
Florida Museum of Natural History, University of Florida, Gainesville, FL, USA.	38513084	29.63601	 -82.37004
Department of Microbiology and Cell Biology, Montana State University, Bozeman, MT 59717, USA.	38507667	45.66781	-111.04806
Basic Sciences Division, Fred Hutchinson Cancer Center, Seattle, WA 98109, USA.	38507667	47.62734	-122.3316
Howard Hughes Medical Institute, Fred Hutchinson Cancer Center, Seattle, WA 98109, USA.	38507667	47.62734	-122.3316
Department of Physics and Astronomy, University of California, Riverside, CA 92521, USA.	38507665	33.97587	-117.3312
Department of Computational and Systems Biology, University of Pittsburgh School of Medicine, Pittsburgh, PA 15260, USA.	38507665	40.44506	-79.95176
China-Central Asia the Belt and Road Joint Laboratory on Human and Environment Research, Key Laboratory of Cultural Heritage Research and Conservation, School of Culture Heritage, Northwest University, Xi'an, China.	38507661	NA	NA
Key Laboratory of Vertebrate Evolution and Human Origins, Institute of Vertebrate Paleontology and Paleoanthropology, Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Beijing, China.	38507661	NA	NA
School of Archaeology, Shandong University, Jinan, China.	38507661	36.66833	116.9972
Zhejiang Provincial Institute of Cultural Relics and Archaeology, Hangzhou, China.	38507661	30.29365	120.1614
National Museum of China, Beijing, China.	38507661	40.18641	116.3603
School of History and Culture, Lanzhou University, Lanzhou, China.	38507661	36.05701	103.8399
Tibet Institute for Conservation and Research of Cultural Relics, Lhasa, China.	38507661	29.65000	 91.1000
Key Laboratory of Western China's Environmental Systems (Ministry of Education), College of Earth and Environmental Sciences, Lanzhou University, Lanzhou, China.	38507661	36.05701	103.8399
Department of Cultural Heritage and Museology, Nanjing Normal University, Nanjing, China.	38507661	32.06167	118.7778
Shandong Provincial Institute of Cultural Relics and Archaeology, Jinan, China.	38507661	36.66833	116.9972
Gansu Provincial Institute of Cultural Relics and Archaeology, Lanzhou, China.	38507661	36.05701	103.8399
Fudan Archaeological Science Institute, Fudan University, Shanghai, China.	38507661	31.22222	121.4581
